Activation,Neurons,Layers,MSE,MAE,R2,Training Time
relu,16,1,0.21635532081127168,0.318261456489563,0.9460054397583008,43.48853945732117
relu,16,2,0.17630511224269868,0.2827425181865692,0.9539387941360473,48.14084315299988
relu,16,3,0.18430787324905396,0.2876059114933014,0.951021957397461,50.574965953826904
relu,32,1,0.12260115593671798,0.24414851665496826,0.9700066804885864,47.00434923171997
relu,32,2,0.09565808176994324,0.2147783786058426,0.9762789726257324,47.81669306755066
relu,32,3,0.10475229471921921,0.22456282675266265,0.9723438739776611,48.73763179779053
relu,64,1,0.07586550116539001,0.19266811311244963,0.9818967700004577,44.470789194107056
relu,64,2,0.06119027808308601,0.17438416182994843,0.9852201223373414,47.16378951072693
relu,64,3,0.0629775881767273,0.17819213271141052,0.9846598863601684,49.52114510536194
relu,128,1,0.04980998560786247,0.1561560273170471,0.9885143995285034,45.66364789009094
relu,128,2,0.04206980913877487,0.14629900455474854,0.9901654839515686,49.581499338150024
relu,128,3,0.04270281568169594,0.14786575436592103,0.9898523926734925,52.3704879283905
tanh,16,1,0.5188647985458374,0.4455228984355927,0.8875286817550659,41.29650831222534
tanh,16,2,0.6019999146461487,0.47010849714279174,0.8551448702812194,43.37648344039917
tanh,16,3,0.6618546366691589,0.4909750998020172,0.8328165292739869,44.929171562194824
tanh,32,1,0.22044277787208558,0.2996721386909485,0.9523887157440185,40.33097720146179
tanh,32,2,0.21061879098415376,0.28891038298606875,0.9473850131034851,42.4215452671051
tanh,32,3,0.2596325665712357,0.3145055711269379,0.9359404802322387,44.68266487121582
tanh,64,1,0.11722659915685654,0.22917977571487427,0.9755252718925476,41.11881923675537
tanh,64,2,0.09177789390087128,0.200799360871315,0.9789267539978027,43.39141583442688
tanh,64,3,0.11037978082895279,0.2184016466140747,0.9733014822006225,45.83648061752319
tanh,128,1,0.06878376752138138,0.17817577123641967,0.9854045391082764,42.07096886634827
tanh,128,2,0.04906253963708877,0.15153856873512267,0.9892003536224365,63.34511113166809
tanh,128,3,0.07556908056139947,0.1874017298221588,0.9825757265090942,58.74835658073425
sigmoid,16,1,1.0669427633285522,0.6259618520736694,0.7695176839828491,46.70846176147461
sigmoid,16,2,1.450092363357544,0.7551860690116883,0.6188518643379212,48.720829010009766
sigmoid,16,3,1.7954828977584838,0.8621733903884887,0.5294537782669068,49.742871046066284
sigmoid,32,1,0.5060155332088471,0.43400407433509824,0.8885339617729187,45.12632489204407
sigmoid,32,2,0.6081764221191406,0.46941571235656737,0.8431671500205994,48.31863498687744
sigmoid,32,3,0.7914753198623657,0.5560268998146057,0.7726826071739197,50.388741970062256
sigmoid,64,1,0.25543932616710663,0.3163008987903595,0.9415268063545227,44.18071436882019
sigmoid,64,2,0.3113334357738495,0.34547125101089476,0.916094172000885,46.30374455451965
sigmoid,64,3,0.3553241193294525,0.3723029375076294,0.9046655893325806,50.26080060005188
sigmoid,128,1,0.14560507535934447,0.2460206091403961,0.967032527923584,45.72604990005493
sigmoid,128,2,0.13528189361095427,0.2364274948835373,0.9648372769355774,50.19201326370239
sigmoid,128,3,0.20366478860378265,0.2869428277015686,0.9464908480644226,54.64453625679016
linear,16,1,0.17498468458652497,0.2824047148227692,0.9590390205383301,40.74259376525879
linear,16,2,0.17174238264560698,0.28666457533836365,0.9575157642364502,44.8065881729126
linear,16,3,0.1826864629983902,0.2951772451400757,0.9549195408821106,47.47965621948242
linear,32,1,0.1345497637987137,0.25237486362457273,0.9697939872741699,43.436697244644165
linear,32,2,0.11899459213018418,0.23881949186325074,0.9731710195541382,45.98996090888977
linear,32,3,0.12412856221199035,0.24689843952655793,0.9707138776779175,50.72407531738281
linear,64,1,0.11287582218647003,0.23253900706768035,0.9756508708000183,45.08492636680603
linear,64,2,0.10775793045759201,0.22788578271865845,0.976615846157074,46.198930978775024
linear,64,3,0.09936829656362534,0.2170023500919342,0.97774658203125,46.60879969596863
linear,128,1,0.10322193652391434,0.22015824019908906,0.9778993010520936,43.6591420173645
linear,128,2,0.10363350659608841,0.21785405278205872,0.977998685836792,45.92151713371277
linear,128,3,0.09206385314464569,0.21261205673217773,0.9796285152435302,49.48681592941284
