Activation,Neurons,Layers,MSE,MAE,R2,Training Time
relu,16,1,0.23513543605804443,0.32812039852142333,0.9420273900032043,44.47155547142029
relu,16,2,0.1892852693796158,0.2915315330028534,0.9512686252593994,46.95595860481262
relu,16,3,0.20730873346328735,0.30409544706344604,0.9455122828483582,48.922232151031494
relu,32,1,0.14952266812324524,0.26854538917541504,0.9639452338218689,42.35364866256714
relu,32,2,0.10955961495637893,0.22896764278411866,0.9713873386383056,42.09597873687744
relu,32,3,0.10777375102043152,0.22637800574302674,0.9718114972114563,44.24100399017334
relu,64,1,0.09098070114850998,0.210244283080101,0.9784013152122497,40.45364212989807
relu,64,2,0.067591592669487,0.18230036795139312,0.9841338634490967,42.58623385429382
relu,64,3,0.06809814125299454,0.1833692729473114,0.9833029866218567,45.53537654876709
relu,128,1,0.06324781402945519,0.17478968799114228,0.9857095241546631,41.251927614212036
relu,128,2,0.04840897172689438,0.15454070568084716,0.9888771414756775,48.81384992599487
relu,128,3,0.050964489579200745,0.16004269123077391,0.9881675601005554,51.10022687911987
tanh,16,1,0.5041154623031616,0.44263250231742857,0.8907346487045288,41.351441383361816
tanh,16,2,0.570754325389862,0.4545262038707733,0.8586511254310608,43.04968762397766
tanh,16,3,0.6823032379150391,0.4990453660488129,0.8222901701927186,44.9965443611145
tanh,32,1,0.21412095725536345,0.2990963637828827,0.9519710063934326,40.48152160644531
tanh,32,2,0.21461019217967986,0.2897674262523651,0.9469711661338807,42.16495084762573
tanh,32,3,0.24890356063842772,0.30756264328956606,0.9372546076774597,44.27168917655945
tanh,64,1,0.11726394593715668,0.22992487549781798,0.974021828174591,40.542126178741455
tanh,64,2,0.09444402754306794,0.2024981051683426,0.9783187508583069,43.16017460823059
tanh,64,3,0.11147641241550446,0.2204877734184265,0.9730720281600952,45.032954692840576
tanh,128,1,0.0796413317322731,0.19369991421699523,0.9825539708137512,41.277477502822876
tanh,128,2,0.06016009971499443,0.16740259826183318,0.986805522441864,45.56361436843872
tanh,128,3,0.06311934888362884,0.17274154126644134,0.986037302017212,49.17896056175232
sigmoid,16,1,1.1389376640319824,0.6571194291114807,0.7450945973396301,40.07786750793457
sigmoid,16,2,1.611039400100708,0.8096285462379456,0.5853199481964111,47.862313747406006
sigmoid,16,3,1.813455057144165,0.8673597931861877,0.5252542853355407,46.51914954185486
sigmoid,32,1,0.5471421599388122,0.45801880955696106,0.8765525579452514,41.4246129989624
sigmoid,32,2,0.6929166316986084,0.5149838209152222,0.8051101565361023,43.744383811950684
sigmoid,32,3,0.8641991019248962,0.5801412105560303,0.7590637803077698,46.247788190841675
sigmoid,64,1,0.29343530535697937,0.34333407282829287,0.9317732930183411,41.172173261642456
sigmoid,64,2,0.3444549560546875,0.36772775650024414,0.906105375289917,43.58884072303772
sigmoid,64,3,0.42660691142082213,0.4036572456359863,0.8835432291030884,45.44382190704346
sigmoid,128,1,0.1760460078716278,0.2734721124172211,0.9589574098587036,41.443483114242554
sigmoid,128,2,0.17314281165599824,0.26707257628440856,0.9547881484031677,45.51938796043396
sigmoid,128,3,0.2605869621038437,0.32654796838760375,0.9277360081672669,49.38547229766846
linear,16,1,0.20373407006263733,0.3058123648166656,0.9530841469764709,43.32402992248535
linear,16,2,0.1853557199239731,0.29475651383399964,0.955705749988556,43.314852476119995
linear,16,3,0.2087685376405716,0.3165592968463898,0.9485228896141052,49.30497479438782
linear,32,1,0.1605926126241684,0.2744592547416687,0.9659626126289368,40.3350305557251
linear,32,2,0.14210774302482604,0.25867207646369933,0.9686797022819519,42.050294637680054
linear,32,3,0.1538070410490036,0.2726702094078064,0.9653427958488464,44.05400276184082
linear,64,1,0.13126763254404067,0.2488344520330429,0.9724616169929504,40.83906102180481
linear,64,2,0.12960755676031113,0.25004421174526215,0.972478723526001,42.731088399887085
linear,64,3,0.14519619196653366,0.2669975578784943,0.9693278312683106,45.57065486907959
linear,128,1,0.11986444741487504,0.23651883006095886,0.9747596025466919,43.65681266784668
linear,128,2,0.12917642742395402,0.24750584363937378,0.9734711885452271,45.69170427322388
linear,128,3,0.14152016937732698,0.2581830143928528,0.9709930181503296,49.50585389137268
