Activation,Neurons,Layers,MSE,MAE,R2,Training Time
relu,16,1,0.22039699852466582,0.32015777826309205,0.9462050080299378,44.58313965797424
relu,16,2,0.17254875600337982,0.2791010677814484,0.9559507966041565,45.707125425338745
relu,16,3,0.17568361163139343,0.2802265167236328,0.9541451811790467,47.22085905075073
relu,32,1,0.1339916169643402,0.25419114232063295,0.9686471939086914,42.9337694644928
relu,32,2,0.1044605627655983,0.22226333618164062,0.9733268618583679,45.27217245101929
relu,32,3,0.1018889531493187,0.22169463634490966,0.973465645313263,50.20413661003113
relu,64,1,0.08130325227975846,0.1987159550189972,0.9803408980369568,44.48461198806763
relu,64,2,0.062147744745016095,0.17499767243862152,0.9850393891334533,46.92548394203186
relu,64,3,0.06642650216817855,0.18265826106071473,0.9836391925811767,49.456998348236084
relu,128,1,0.055268830806016925,0.16426286697387696,0.9872731328010559,45.273807525634766
relu,128,2,0.042020737379789355,0.144916632771492,0.9900793552398681,49.274423360824585
relu,128,3,0.04635369852185249,0.1532139629125595,0.9892248988151551,51.950905561447144
tanh,16,1,0.5212425351142883,0.4487495839595795,0.887379503250122,40.62141442298889
tanh,16,2,0.6327231049537658,0.48233240842819214,0.844796109199524,42.39775085449219
tanh,16,3,0.6793878555297852,0.5033827185630798,0.8190727591514587,43.713539123535156
tanh,32,1,0.21708219051361083,0.29751899242401125,0.9525547027587891,40.09361815452576
tanh,32,2,0.2167777955532074,0.2897509515285492,0.9471604704856873,42.09055185317993
tanh,32,3,0.25674318969249726,0.31066139936447146,0.9357564091682434,44.12547993659973
tanh,64,1,0.1132681205868721,0.22528724372386932,0.9753327012062073,43.62846231460571
tanh,64,2,0.09114725142717361,0.20004777610301971,0.9790248155593873,43.944180727005005
tanh,64,3,0.10660103559494019,0.21259265542030334,0.9739206671714783,45.95569896697998
tanh,128,1,0.07812925428152084,0.1922626256942749,0.983696722984314,41.53647184371948
tanh,128,2,0.05039568543434143,0.15254550576210021,0.9888224840164185,45.411741971969604
tanh,128,3,0.0716347835958004,0.1827506810426712,0.9843825578689576,49.16594052314758
sigmoid,16,1,1.074087905883789,0.6317725300788879,0.7642540693283081,39.80917239189148
sigmoid,16,2,1.510113787651062,0.7785394072532654,0.6066014409065247,41.890809774398804
sigmoid,16,3,1.846052074432373,0.8744371652603149,0.5171838402748108,47.16779279708862
sigmoid,32,1,0.5215143144130707,0.4450115501880646,0.8834277629852295,41.12502121925354
sigmoid,32,2,0.6449845314025879,0.48770999908447266,0.8237316966056824,43.56902599334717
sigmoid,32,3,0.7870922446250915,0.5545016527175903,0.7765002131462098,44.56806230545044
sigmoid,64,1,0.2660201281309128,0.3253434181213379,0.9382393002510071,40.5447256565094
sigmoid,64,2,0.31783680319786073,0.3503736913204193,0.9139741659164429,42.94770693778992
sigmoid,64,3,0.3879357039928436,0.38698688745498655,0.8958993434906006,45.33581280708313
sigmoid,128,1,0.1558014154434204,0.25548253357410433,0.9642576336860657,41.4328510761261
sigmoid,128,2,0.15536318123340606,0.25255215764045713,0.9597097754478454,45.66354751586914
sigmoid,128,3,0.23615036010742188,0.3123966872692108,0.9344172954559327,53.36951780319214
linear,16,1,0.17932672500610353,0.2887108862400055,0.958797562122345,40.85222768783569
linear,16,2,0.1807495415210724,0.29517869353294374,0.9571980237960815,42.99252390861511
linear,16,3,0.19137586355209352,0.2992919683456421,0.9532809257507324,44.32764768600464
linear,32,1,0.14064006507396698,0.25704008936882017,0.9692793250083923,40.1174521446228
linear,32,2,0.1392958253622055,0.2612289637327194,0.9685142278671265,42.00627899169922
linear,32,3,0.13860513269901276,0.2607667088508606,0.9690503120422364,43.88272428512573
linear,64,1,0.11381933987140655,0.23402897119522095,0.9755747199058533,40.69356918334961
linear,64,2,0.10548650920391082,0.22780271172523497,0.9766749024391175,42.89201331138611
linear,64,3,0.1131733238697052,0.23480488657951354,0.9756226420402527,45.15529990196228
linear,128,1,0.09875447303056717,0.21658233404159546,0.9789491534233093,41.28361630439758
linear,128,2,0.10641397535800934,0.22237458527088166,0.9766730427742004,52.29012608528137
linear,128,3,0.10325199216604233,0.2240033596754074,0.9779432415962219,50.602341651916504
