Activation,Neurons,Layers,MSE,MAE,R2,Training Time
relu,16,1,0.26220597624778746,0.34811827540397644,0.9365744233131409,43.717195987701416
relu,16,2,0.21471365094184874,0.3118356287479401,0.945535933971405,46.12877154350281
relu,16,3,0.22947951257228852,0.31852529048919676,0.9404586434364319,46.5203070640564
relu,32,1,0.17081984877586365,0.2842928946018219,0.959896731376648,39.77570080757141
relu,32,2,0.12821145355701447,0.24610646367073058,0.9683662176132202,42.35970401763916
relu,32,3,0.1257358103990555,0.24250815212726592,0.9679847240447998,45.40607452392578
relu,64,1,0.11796518564224243,0.23673686385154724,0.9730915188789367,40.681559801101685
relu,64,2,0.09181370884180069,0.2095932751893997,0.9782374501228333,42.38645124435425
relu,64,3,0.09565669447183608,0.2148207902908325,0.9775228500366211,44.58049488067627
relu,128,1,0.09424813985824584,0.20991484820842743,0.978780210018158,42.36725306510925
relu,128,2,0.0800261914730072,0.19430788457393647,0.9823500394821167,45.86419653892517
relu,128,3,0.07828130573034286,0.19334785044193267,0.9823666930198669,48.9149866104126
tanh,16,1,0.544107449054718,0.46055875420570375,0.8844391703605652,39.56763195991516
tanh,16,2,0.6079420328140259,0.470950585603714,0.8529497861862183,42.74695658683777
tanh,16,3,0.6392542600631714,0.4805802762508392,0.8355002760887146,44.752440214157104
tanh,32,1,0.25698087811470033,0.3308267056941986,0.945184051990509,40.3114070892334
tanh,32,2,0.22994860112667084,0.3013488471508026,0.9457408785820007,41.834856033325195
tanh,32,3,0.26085834503173827,0.31711454391479493,0.9356002688407898,43.93003988265991
tanh,64,1,0.1638924479484558,0.2750574827194214,0.9650933980941773,41.6463258266449
tanh,64,2,0.11754264980554581,0.2273659884929657,0.9731738805770874,44.13858461380005
tanh,64,3,0.12658930271863938,0.23545798063278198,0.9700824618339539,45.690871715545654
tanh,128,1,0.12498877793550492,0.24188748598098755,0.9735719084739685,41.40648555755615
tanh,128,2,0.09119347184896469,0.20418642461299896,0.9806148648262024,45.38762044906616
tanh,128,3,0.08546439111232758,0.1985361546278,0.9806328296661377,48.986411809921265
sigmoid,16,1,1.173726534843445,0.672806978225708,0.738271176815033,42.219555139541626
sigmoid,16,2,1.7709769010543823,0.8602088212966919,0.539069402217865,42.81416034698486
sigmoid,16,3,1.8434627056121826,0.8794229865074158,0.5141253352165223,44.61607623100281
sigmoid,32,1,0.5983365058898926,0.4862203001976013,0.8611376643180847,40.092021465301514
sigmoid,32,2,0.74579256772995,0.5380242109298706,0.7918328881263733,41.7813446521759
sigmoid,32,3,1.151929247379303,0.6774518847465515,0.69141685962677,44.36759328842163
sigmoid,64,1,0.34433703422546386,0.3799347221851349,0.9182441711425782,40.11447238922119
sigmoid,64,2,0.3725471913814545,0.3829827070236206,0.8996439933776855,45.41144800186157
sigmoid,64,3,0.5365414917469025,0.46624975800514223,0.8435087323188781,46.59996724128723
sigmoid,128,1,0.22128186225891114,0.30869855284690856,0.9477457523345947,41.69157695770264
sigmoid,128,2,0.20782085955142976,0.291366720199585,0.9463294386863709,51.68943238258362
sigmoid,128,3,0.2821465075016022,0.345482736825943,0.924538540840149,62.224039793014526
linear,16,1,0.22518419623374938,0.32020717263221743,0.9493726849555969,47.88871121406555
linear,16,2,0.2180340826511383,0.3186973989009857,0.9491471409797668,44.472503900527954
linear,16,3,0.2309812128543854,0.3293326199054718,0.9463253855705261,54.564441442489624
linear,32,1,0.18537430465221405,0.2921032965183258,0.9604214429855347,49.358938694000244
linear,32,2,0.17613660991191865,0.28515795469284055,0.9616000056266785,47.32257008552551
linear,32,3,0.18469882011413574,0.2958900809288025,0.9590588927268981,49.31649899482727
linear,64,1,0.16669459640979767,0.27669407725334166,0.964899742603302,44.611255407333374
linear,64,2,0.17261230647563935,0.28463247418403625,0.9636546492576599,45.90222644805908
linear,64,3,0.18093464374542237,0.2880477845668793,0.9627859115600585,48.700334310531616
linear,128,1,0.16536276936531066,0.27720125317573546,0.9648298382759094,44.4441876411438
linear,128,2,0.1800991714000702,0.29292391538619994,0.9622516751289367,49.57512855529785
linear,128,3,0.17895770370960234,0.2884955585002899,0.9626937747001648,53.14653038978577
